Sample ID,(Y/N) Transcribed from 2024 data sheets,Latitude,Longitude,Site Owner,(Y/N) Canker Status Written On Sample Bag,Notes on sample collection,Site number or initial,Month sampled,Date Sampled,Photo numbers,Slope,Aspect,Plant height (ft),DBH (cm),Producing seed?,Collected,Percent live canopy,Number of epicormic branches/ sprouts from the base,Number of epicormic branches/ sprouts from the trunk,Visible cankers? (according to health assessment form),"If large cankers present, are they being calloused over?",Area of trunk infected by canker (%),Area of base/ root flare infected by canker (%),"If trees are infected, severity of infection",Shape of terminal bud (true/ hybrid character),Shape of bud scar (true/ hybrid character),Shape/ length of lenticels (true/ hybrid character),"If fruits are visible, how many in a bunch?",Plant associates,Any additional notes (from health assessment form),Seedling (Y/N)
JC-W-WCP-SH23,Y,41.892517,-88.225871,Forest Preserve District of DuPage County,N,,WCP,September,09-26-2024,,,,4.5,,No,leaves,90,5,0,No,None present,0,0,,1,1,1,,"tall goldenrod, sumac, rubus, joe pye weed",seedling (explicit N/A written for DBH),Y
JC-W-WCP-SH24,Y,41.892519,-88.225719,Forest Preserve District of DuPage County,Y,,WCP,September,09-26-2024,,,,3,,No,leaves,50,,,Yes,Yes,30,0,,1,1,1,,"tall goldenrod, rubus, buckthorn, bur oak",seedling (explicit N/A written for DBH); small cankers present that are being calloused over,Y
JC-W-WCP-SH25,Y,41.892519,-88.225719,Forest Preserve District of DuPage County,N,,WCP,September,09-26-2024,,,,3,,No,leaves,100,,,No,None present,0,0,,1,1,1,,"tall goldenrod, rubus, buckthorn, bur oak",Plant associates same as SH24,Y
JC-W-WCP-SH26,Y,41.8926103,-88.2259373,Forest Preserve District of DuPage County,Y,,WCP,September,09-26-2024,,25,N,,6.35,No,"voucher, leaves",100,0,0,Yes,Yes,50,,,1,1,1,,,"Not seedling (DBH provided, unique because no height provided); DBH provided in inches (not cm); Next to telephone pole; inline of brush that Dupage Co migth clear; they are cutting brush today (Sept 26th, 2024) ",N
JC-W-WCP-SH27,Y,41.8925781,-88.2262921,Forest Preserve District of DuPage County,N,,WCP,September,09-26-2024,,0,,6.5,1.905,No,leaves,100,0,0,No,,,,1,3,2,,,,"DBH provided in inches (not cm); very vigorous, growing above brush, huge leaf scar, v large terminal bud and lots of thorns! Couldn't see the root flare.",N
JC-W-WCP-SH28,Y,41.8925871,-88.2249285,Forest Preserve District of DuPage County,N,,WCP,October,10-3-2024,,,"N,S",7,3.175,No,leaves,100,0,0,No,None present,0,30,1,3,1,2,,grapevine,"DBH provided in inches (not cm); heavily weighted by grapevines needs mgmt-highly, bent at 45 degrees. Said no visible cankers, ""1 wound but I think not canker."" But, then for the base/root flare there was a note that said ""unclear if canker its black.""",N
JC-W-WCP-SH29,Y,41.8925679,-88.2256738,Forest Preserve District of DuPage County,Y,,WCP,October,10-3-2024,,,,3.5,,,leaves,100,1,0,Yes,Yes,40,0,1,2,1,1,,,"Explicitly wrote sapling, but no DBH was provided so I said yes to Seedling status; Heavy canker on one branch low down, shows deer browse and possible mower damage",Y
JC-W-WCP-SH30,Y,41.8925926,-88.2257087,Forest Preserve District of DuPage County,N,,WCP,October,10-3-2024,,,,1,,No,leaves,,0,0,No,No,0,0,1,1,,,,,"Not a first year, has deer browse, two dead stems, coming back.",Y
JC-W-WCP-SH31,Y,41.8925337,-88.2256809,Forest Preserve District of DuPage County,N,,WCP,October,10-3-2024,,,,1.5,,No,leaves,100,0,0,No,No,0,0,1,1,,,,,Next to 2 dead sprouts- deer browse? Not sure if seperate seedlings or not.,Y
JC-W-WCP-SH32,Y,41.8926108,-88.2255739,Forest Preserve District of DuPage County,Y,,WCP,October,10-3-2024,,,,6,0.762,No,leaves,,,1,Yes,None present,5,0,1,2,1,1,,,"DBH provided in inches (not cm); pretty sure cinerea, but maybe nigra. But streaks of black & one dead branch appears to have canker.",N
JC-W-WCP-SH33,Y,41.8923992,-88.2255021,Forest Preserve District of DuPage County,Y,,WCP,October,10-3-2024,,,,7,2.54,No,leaves,,,2,Yes,No,60,,3,2,1,1,,,DBH provided in inches (not cm); 90% sure there are 2 or more sprouts from base of dead tree. Likely sprouting for 3 to 5 years. Many dead sprouts; sampled southern most sprout.,N
JC-W-WCP-SH34,Y,41.8925527,-88.2251545,Forest Preserve District of DuPage County,N,,WCP,October,10-3-2024,,,,1,,No,leaves,100,1,,No,None present,0,0,1,1,1,,,,leaning over - towards light? mower or deer damage - one dead stump; seedling,Y
JC-W-WCP-SH35,Y,41.8921838,-88.2254643,Forest Preserve District of DuPage County,Y,,WCP,October,10-3-2024,,,,1,,No,leaves,100,0,0,Yes,No,30,0,1,1,1,1,,,seedlings; deer browse; near SH9.,Y
JC-W-WCP-SH36,Y,41.8921838,-88.2254643,Forest Preserve District of DuPage County,Y,"Location same as 36, 2 feet W/NW",WCP,October,10-3-2024,,,,,,,leaves,100,,1,Yes,No,0,0,,,,,,,"seedlings; very small, hard to say on butternut/hybrid characteristics; no area of trunk infected but one branch dead; height was less than 1 foot. ",Y
JC-W-WCP-SH37,Y,41.8926625,-88.224047,Forest Preserve District of DuPage County,N,,WCP,October,10-8-2024,,0,,8,3.175,No,leaves,,0,0,No,None present,0,0,1,2,1,2,,,not seedling; no canker on trunk but has deer rub wound or old-callous on trunk; this is NS14. DBH provided in inches.,N
JC-W-WCP-SH38,Y,41.892247,-88.2255236,Forest Preserve District of DuPage County,N,,WCP,October,10-8-2024,,,,1,,No,leaves,,0,0,No,None present,0,0,1,1,,,,,"seedling; very skinny, was NS2.",Y
JC-W-WCP-SH39,Y,41.8922979,-88.2257573,Forest Preserve District of DuPage County,Y,,WCP,October,10-8-2024,,0,,3.5,,,leaves,100,0,0,Yes,None present,10,0,1,2,1,1,,,"seedling;another tree here, just north comeback! 4 trunks! One tree? I took leaves from the flagged trunk; was NS3",Y
JC-W-WCP-SH40,Y,41.892561,-88.227303,Forest Preserve District of DuPage County,Y,,WCP,October,10-8-2024,,0,,8,3.81,No,leaves,100,3,0,Yes,Yes,20,70,,2,1,1,,,not seedling; was NS11; old pink flagging on trunk a lot of vine growing on it.,N
JC-W-WCP-SH41,Y,41.892522,-88.227211,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,2.5,,No,leaves,100,0,0,Yes,Yes,25,0,,2,2,2,,,seedling; one dead trunk stem suspected visible deer browse; was near NS11; missing exact date,Y
JC-W-WCP-SH42,Y,41.892558,-88.22728,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,8,1.905,No,leaves,100,0,0,Yes,No,20,0,,3,2,2,,,"not seedling; was area of NS11, old stump immediately adjacent to stem. Hard to say if it is rising out of that strump; quite hairy on end of new growth. we put zero epicormics but note that it was hard to see if it was coming from the stump or not. ",N
JC-W-WCP-SH43,Y,41.892554,-88.227554,Forest Preserve District of DuPage County,Y,,WCP,October,10-9-2024,,0,,1.5,,No,leaves,100,0,0,Yes,No,30,0,,1,,1,,,seedling (NA DBH); 3 stems cut off at the base; previously unfound individual ,Y
JC-W-WCP-SH44,Y,41.892527,-88.227654,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,2.5,,No,leaves,100,0,0,Yes,No,15,0,,1,1,1,,,seedling (NA DBH); was NS13; 2 trunk coming up one inch apart a broken stump next to that which looks like it got mowed. We guess they are epicormics from the stump small branch looks clipped by deer damage.,Y
JC-W-WCP-SH45,Y,41.892316,-88.22723,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,6,0.8466666667,No,leaves,100,1,0,Yes,No,60,85,,1,1,1,,,not seedling; the epicormic on the base was dead; stump cut at the base; was NS12,N
JC-W-WCP-SH46,Y,41.892324,-88.227122,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,8,1.905,No,leaves,100,0,0,Yes,No,50,0,,1,1,1.5,,,not seedlings (DBH provided),N
JC-W-WCP-SH47,Y,41.892335,-88.22708,Forest Preserve District of DuPage County,N,,WCP,October,,,0,,3.5,,No,leaves,100,0,0,No,,0,0,,1,1.5,2,,,seedlings (DBH not provided); Dead branch off main stem; Bark is a little black walnutty.,Y
JC-W-WCP-SH48,Y,41.892153,-88.227315,Forest Preserve District of DuPage County,N,,WCP,October,,,0,,13,5.08,No,leaves,100,1,0,No,None present,,35,,2,2,3,,,not seedling (DBH provided); half of trunk is wounded - looks like deer rub though -- south side callousing over possible cankers on the branch.,N
JC-W-WCP-SH49,Y,41.892512,-88.226802,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,5,0.635,No,leaves,100,0,0,Yes,Yes,50,60,,1,1,1,,,not seedlings (DBH provided); deer browse evident;,N
JC-W-WCP-SH50,Y,41.89247,-88.226697,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,2.5,,No,leaves,60,1,0,Yes,No,40,0,,1,1,1,,,"seedlings (DBH not provided); multitrunk, 1 leader which has died back",Y
JC-W-WCP-SH51,Y,41.892545,-88.226612,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,5.5,0.8466666667,No,leaves,100,,0,Yes,No,25,0,,1,1,1,,,"not seedling (DBH provided); another stem of equal size is coming up immediately next to the stem, looks like it had been cankered and is dead now; was NS10",N
JC-W-WCP-SH52,Y,41.8926,-88.226537,Forest Preserve District of DuPage County,Y,,WCP,October,,,0,,3.5,,No,leaves,,,0,Yes,No,0,0,,1,2,2,,,seedling (DBH not provided); some cankers in upper branches sickly upper leaves and terminal bud. ,Y
JC-W-WCP-SH53,Y,41.8921476,-88.2255062,Forest Preserve District of DuPage County,N,,WCP,,,,0,,1.25,,,leaves,100,1,0,No,None present,0,,,1,,1,,,"seedling (written explicitly, DBH not provided); caged already; too small to tell bud scar shape; 1 dead, deer browse epicormic on base; iPhone to get us GPS; was NS1",Y
JC-W-WCP-SH54,Y,,,Forest Preserve District of DuPage County,,,WCP,,,,,,2.5,,,leaves,100,,,Yes,,5,,,1,,,,,seedling (DBH not provided); caged already; too small to tell shape of bud scar or lenticels; did not get GPS; was next to black walnut (cut it?) two trunks equal height several old trunks cut at base; was NS6,Y
JC-W-WCP-SH55,Y,41.8921359,-88.2259752,Forest Preserve District of DuPage County,N,,WCP,,,,,,1,,,leaves,,0,0,No,None present,0,,,1,,,,,seedling (DBH not provided); iPhone to get GPS; first year? very skinny and one last leaf,Y
JC-W-WCP-SH56,Y,,,Forest Preserve District of DuPage County,,MISSING SAMPLE,WCP,,,,,,1.5,,,leaves,100,0,,Yes,,40,,,,,1,,,seedling (DBH not provided); did not write GPS-- need GPS. Zero epicormics at base but 3 stems cut or died back. hard to tell hybrid characteristics with terminal bud.,Y
JC-W-WCP-SH57,Y,41.892218,-88.2261348,Forest Preserve District of DuPage County,,,WCP,,,,,,2,,,leaves,,0,0,,,0,,,1,1,1,,,seedling (DBH not provided); caged already; iPhone to get GPS; 1 stem clipped near base- deer browse? Was NS4,Y
JC-W-WCP-SH58,Y,41.8922295,-88.2262099,Forest Preserve District of DuPage County,,,WCP,,,,,,1,,No,leaves,100,0,0,Yes,,20,,,,,,,,"seedling (DBH not provided); very skinny; hard to tell hybrid/true characteristics because tree was too small; year one seedling, no base; iPhone to get GPS",Y
JC-W-WCP-SH59,Y,41.8922235,-88.2264131,Forest Preserve District of DuPage County,Y,,WCP,,,,,,1.5,,,leaves,,1,,Yes,,40,,,1,,1,,,seedling (DBH not provided); caged already; too small to tell shape of bud scar; GPS from iPhone; resprout from base-clipped or mowed; was NS7,Y
JC-W-WCP-SH60,Y,41.8921871,-88.2265304,Forest Preserve District of DuPage County,Y,,WCP,,,,,,5,0.762,,leaves,,1,,Yes,,10,,,1,1.5,1.5,,,"not seedling (DBH provided):main growth was a sprount off dead stump. iPhone used for GPS; 2 living, 1 dead stump sprouts; sampled tallest; was NS8.",N
JC-W-WCP-SH61,Y,41.89254,-88.2263628,Forest Preserve District of DuPage County,Y,,WCP,,,,,,6.25,1.27,No,leaves,100,4,,Yes,Yes,20,,,1,1,1,,,"not seedling (DBH provided); iPhone used to get GPS; two trunks close (2 inches) & 2 dead trunks; unknown NS (""NS??"")",N
JC-W-WCP-SH62,Y,,,Forest Preserve District of DuPage County,N,,WCP,,,,,,7,2.54,Yes,leaves,,,,No,None present,0,,,1,1,1,,,"not seedling (DBH provided); more in area - search more; right east of SH61; single trunk; unknown NS (""NS??"")",N
JC-W-WCP-SH63,Y,41.8925407,-88.2285434,Forest Preserve District of DuPage County,Y,,WCP,,,,20,N,14,5.08,No,"voucher, leaves",100,0,0,Yes,Yes,60,70,3,1,1,1,,,"not seedling (DBH provided); looks like ComEd cut a year or two ago; iPhone used for GPS; underlined no apparent crown dieback, but selected the Purdue severity of infection #3 based on the canker description.",N
JC-W-WCP-SH64,Y,41.8925769,-88.2294986,Forest Preserve District of DuPage County,Y,,WCP,,,,0,,10,5.08,No,leaves,,5,,Yes,Yes,25,10,2,1,1,1,,,"not seedling (DBH provided); 3 significant trunks, 2 totally cut 1 left, plus 2 epicormics cut; also old cut low to the joint; was 10ft but more was cut by ComEd; Hard to say percent live canopy.",N
JC-W-WCP-SH65,Y,41.8925594,-88.2295147,Forest Preserve District of DuPage County,Y,,WCP,,,,,,2.5,5.08,No,leaves,,0,0,Yes,Yes,30,0,,2,1.5,1.5,,,not seedling (DBH provided); individual cut @ breast height one branch left; the hybrid characteristics for bud scar and lenticels varied by branch; Purdue severity of infection & canker areas was unclear due to cut; this individual is west of SH64.,N
JC-W-WCP-SH66,Y,41.8923103,-88.2276707,Forest Preserve District of DuPage County,,,WCP,,,,5,W,6,1.27,No,leaves,,0,0,Yes,,20,0,1.5,2,1,1,,,not seedling (DBH provided); unclear if callousing or not; GPS from iPhone;,N
JC-W-DanFP-SH1,Y,41.8164412,-88.1096123,Forest Preserve District of DuPage County,,,DanFP,September,,,0,,25,cannot reach,No,"voucher, leaves",95-100,NA,,,,,,1,2,1,1,NA,,,
JC-W-DanFP-SH2,Y,41.8166211,-88.10973,Forest Preserve District of DuPage County,Y,,DanFP,September,,,0,,20,"10"" - guess-reassess",Yes,"voucher, leaves, 8-10 seeds",100,0,0,Yes,Yes,30,reassess,1 and 3 both circled,1,1,1,,,,
JC-W-DanFP-SH3,Y,41.8165469,-88.1097186,Forest Preserve District of DuPage County,,,DanFP,September,,,0,,1,NA,No,leaves,,0,,,,,,,1,,1,1-3,,,
JC-W-DanFP-SH4,Y,41.8171334,-88.1100408,Forest Preserve District of DuPage County,Y,,DanFP,September,,,,,25,10,No,"voucher, leaves",0-5,0,2,Yes,No,5-10,80-90,5,1,1,1,,,,
JC-W-DanFP-SH5,Y,41.8174282,-88.1102594,Forest Preserve District of DuPage County,Y,,DanFP,September,,,,,25,9,Yes,"vouchers, leaves, 5-6 seeds",,0,0,Yes,No,0,5,1 and 2 both circled,1,1,1,,,,
JC-W-DanFP-SH6,Y,41.8179822,-88.1101685,Forest Preserve District of DuPage County,N,,DanFP,September,,,0,,15,?,No,"vouchers, leaves, 5-6 seeds",100,0,0,No,None present,0,0,1,3,3,3,,,"vigous. Hairy twigs, Note found heatnut shaped shell here in spring",
JC-W-DanFP-SH7,Y,41.8183942,-88.1100548,Forest Preserve District of DuPage County,N,,DanFP,September,,,0,,15,11 inch,No,"voucher, leaves",100,0,0,No,None present,0,0,1,3,3,2,,,,
JC-W-DanFP-SH8,Y,41.8186141,-88.109959,Forest Preserve District of DuPage County,Y,,DanFP,September,,,5,SE,1.25,seedling!,No,leaves,100,3,,Yes,No,10,0,1,2,1,1,,,"seedling several years old. thick base. deer browse or mowing damage, 2 live trunks ar dead - cut off. beneath medium/young black walnut tree w/ black walnut saplings near",
JC-W-DanFP-SH9,Y,41.8189769,-88.1101692,Forest Preserve District of DuPage County,N,,DanFP,September,,,15,N/NE,25-30,3 trunks at breast height - largest about 13 inches,No,"voucher, leaves",100,0,0,No,None present,0,0,1,3,3,3,,in mowed area,"slightly smaller of large trees on hill father downhill branches closer to road, heartnut shells",
JC-W-DanFP-SH10,Y,41.8189959,-88.1102644,Forest Preserve District of DuPage County,N,,DanFP,September,,,15,N/NE,40,20 inch,No,leaves,,0,0,No,None present,0,0,1,,,,,,"huge and old - biggest tree on site - very green leaves, found heartnut shells",
JC-W-DanFP-SH11,Y,41.8188357,-88.1103351,Forest Preserve District of DuPage County,Y,,DanFP,September,,,5,SW,25,7 and 3.5 inches (2 trunks),No,"voucher, leaves - voucher is an epicormic branch",85,0,3,Yes,Yes,5,5,3,2,2,,,,"upslope of two other trees, are with one trunk and one with two trunks (are dead) that are smaller, hybrid lookig nuts shells under",
JC-W-DanFP-SH12,Y,41.818807,-88.1102677,Forest Preserve District of DuPage County,N,,DanFP,September,,,5,SW,25,12 and 11 inches (2 trunks),No,"voucher, leaves",85,0,0,No,None present,0,0,1,3,2,2,,,hybrid looking shells under,
JC-W-K.Sierzega_1,,37.7068861,-89.48406,US Forest Service,N,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-LB-1,,36.18622,-92.47524,Larry Bearden,Y,,LB ,September,,515-528,15,NE,55,26.2,,leaves,100,0,1,Yes,No,40,80,2,1,1,1,,"black walnut, spice bush, woodland sunflower",,
JC-W-LB-2,,36.186846,-92.47552,Larry Bearden,N,,LB ,September,,529-539,45,NE,25,20.2,,leaves,100,0,0,,No,0,0,1,1,1,1,,"woodland sunflower, pecan, sycamore, box elder, kentucky coffee tree, black walnut",,
JC-W-LB-3,,36.18666,-92.4752,Larry Bearden,Y,,LB ,September,,540-556,50,NE,42,18.4,No,leaves,90,0,0,Yes,No,30,15,1,1,1,1,,,,
JC-W-LB-4,,36.186137,-92.475236,Larry Bearden,Y,,LB ,September,,557-574,10,NE,26,21.4,No,leaves,45,0,1,Yes,No,20,50,3,1,1,1,,"spice bush, kentucky coffee tree",,
JC-W-GR-1,,36.019743,-92.973086,Arkansas Game and Fish Commission (Gene Rush Wildlife Management Area),Y,,GR,September,,465-480,,,32,18.1,Yes,"leaves, seeds",90,1,3,Yes,No,80,90,,,,,3,,,
JC-W-UK-1,,36.019042,-92.972189,Unknown / Unclear boundary ,Y,,UK,September,,481-494,,,16,5.7,No,leaves,90,0,0,Yes,No,70,0,1,,,,,,,
JC-W-SC-1,,36.01863,-92.971653,Shirley and Jack Cooper,Y,,SC,September,,495-,10,,67,63.9,Yes,"leaves, seeds",65-70,0,1,Yes,Yes,30,50,2,,,,,,,
JC-W-HC-1,,35.906099,-92.083445,Arkansas Natural Heritage Commission ,Y,,HC,September,,575-591,55,NW,50,29.2,No,leaves,90,6,0,Yes,No,80,35,4,1,,1,,"jewelweed, spice bush, frost weed","regarding shpe of bud scar: no fuzzy unibrow, longer/taller tan usual",
JC-W-SD-1,,36.139297,-92.270414,US Forest Service,Y,,SD,September,,602-621,25,SE,50,31.6,No,leaves,100,14,0,Yes,No,75,15,,1,1,1,,"black walnut, green ash, white oak","regarding severity of inflection: aspects of category 4 are true but aspects of it are not. Cankers are all over the 10-foot area, there are segements of shredded or broken pieces of bark and epicormics present but there is no dieback in the canopy.",
JC-W-WP-NL1,,42.93117418,-87.84888836,Milwaukee County Parks,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-LW-NL1,,46.35221826,-91.81659087,Douglas County Forestry Department,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-PI-NL1,,43.53178154,-89.52101626,Wisconsin Department of Natural Resources,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-CP-NL1,,42.82119875,-87.81513933,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
JC-W-2NSCE-2,,37.60946,-89.42479,,,Scatters Rd,,,,,,,,,,,,,,,,,,,,,,,,,
