"site","site_owner","date","plant_number","plant_initials","first_photo","last_photo","camera","seedling_y_n","gps_north","gps_west","slope","aspect","plant_height_ft","dbh_cm","producing_seed","percent_live_canopy","base_epicormics","trunk_epicormics","has_canker","has_callous","trunk_canker_area","base_canker_area","purdue_severity","shape_terminal_bud","shape_leaf_scar","shape_lenticels","seed_per_bunch","plant_associates","additional_notes"
"WCP","Forest Preserve District of DuPage County","10-03-2024",33,"SH",6870,6884,"SeansPhone","N",41.8923992,-88.2255021,NA,NA,7,2.54,"No",NA,NA,2,"Yes","No",60,NA,"3",2,1,1,NA,NA,"DBH provided in inches (not cm); 90% sure there are 2 or more sprouts from base of dead tree. Likely sprouting for 3 to 5 years. Many dead sprouts; sampled southern most sprout."
"WCP","Forest Preserve District of DuPage County","10-03-2024",34,"SH",6885,6895,"SeansPhone","Y",41.8925527,-88.2251545,NA,NA,1,NA,"No",100,1,NA,"No","None present",0,0,"1",1,1,NA,NA,NA,"leaning over - towards light? mower or deer damage - one dead stump; seedling"
"WCP","Forest Preserve District of DuPage County","10-03-2024",35,"SH",6896,6905,"SeansPhone","Y",41.8921838,-88.2254643,NA,NA,1,NA,"No",100,0,0,"Yes","No",30,0,"1",1,1,1,NA,NA,"seedlings; deer browse; near SH9."
"WCP","Forest Preserve District of DuPage County","10-03-2024",36,"SH",6906,6916,"SeansPhone","Y",41.8921838,-88.2254643,NA,NA,NA,NA,NA,100,NA,1,"Yes","No",0,0,NA,NA,NA,NA,NA,NA,"seedlings; very small, hard to say on butternut/hybrid characteristics; no area of trunk infected but one branch dead; height was less than 1 foot."
"WCP","Forest Preserve District of DuPage County","",37,"SH",NA,NA,"","N",41.8926625,-88.224047,0,NA,8,3.175,"No",NA,0,0,"No","None present",0,0,"1",2,1,2,NA,NA,"not seedling; no canker on trunk but has deer rub wound or old-callous on trunk; this is NS14. DBH provided in inches."
"WCP","Forest Preserve District of DuPage County","10-08-2024",38,"SH",7016,7021,"SeansPhone","Y",41.892247,-88.2255236,NA,NA,1,NA,"No",NA,0,0,"No","None present",0,0,"1",1,NA,NA,NA,NA,"seedling; very skinny, was NS2."
"WCP","Forest Preserve District of DuPage County","10-08-2024",39,"SH",7023,7032,"SeansPhone","Y",41.8922979,-88.2257573,0,NA,3.5,NA,NA,100,0,0,"Yes","None present",10,0,"1",2,1,1,NA,NA,"seedling;another tree here, just north comeback! 4 trunks! One tree? I took leaves from the flagged trunk; was NS3"
"WCP","Forest Preserve District of DuPage County","",40,"SH",NA,NA,"","N",41.892561,-88.227303,0,NA,8,3.81,"No",100,3,0,"Yes","Yes",20,70,NA,2,1,1,NA,NA,"not seedling; was NS11; old pink flagging on trunk a lot of vine growing on it."
"WCP","Forest Preserve District of DuPage County","",41,"SH",NA,NA,"","Y",41.892522,-88.227211,0,NA,2.5,NA,"No",100,0,0,"Yes","Yes",25,0,NA,2,2,2,NA,NA,"seedling; one dead trunk stem suspected visible deer browse; was near NS11; missing exact date"
"WCP","Forest Preserve District of DuPage County","",42,"SH",NA,NA,"","N",41.892558,-88.22728,0,NA,8,1.905,"No",100,0,0,"Yes","No",20,0,NA,3,2,2,NA,NA,"not seedling; was area of NS11, old stump immediately adjacent to stem. Hard to say if it is rising out of that strump; quite hairy on end of new growth. we put zero epicormics but note that it was hard to see if it was coming from the stump or not."
"WCP","Forest Preserve District of DuPage County","",43,"SH",NA,NA,"","Y",41.892554,-88.227554,0,NA,1.5,NA,"No",100,0,0,"Yes","No",30,0,NA,1,NA,1,NA,NA,"seedling (NA DBH); 3 stems cut off at the base; previously unfound individual"
"WCP","Forest Preserve District of DuPage County","",44,"SH",NA,NA,"","Y",41.892527,-88.227654,0,NA,2.5,NA,"No",100,0,0,"Yes","No",15,0,NA,1,1,1,NA,NA,"seedling (NA DBH); was NS13; 2 trunk coming up one inch apart a broken stump next to that which looks like it got mowed. We guess they are epicormics from the stump small branch looks clipped by deer damage."
"WCP","Forest Preserve District of DuPage County","",45,"SH",NA,NA,"","N",41.892316,-88.22723,0,NA,6,0.8466666667,"No",100,1,0,"Yes","No",60,85,NA,1,1,1,NA,NA,"not seedling; the epicormic on the base was dead; stump cut at the base; was NS12"
"WCP","Forest Preserve District of DuPage County","",46,"SH",NA,NA,"","N",41.892324,-88.227122,0,NA,8,1.905,"No",100,0,0,"Yes","No",50,0,NA,1,1,1.5,NA,NA,"not seedlings (DBH provided)"
"WCP","Forest Preserve District of DuPage County","",47,"SH",NA,NA,"","Y",41.892335,-88.22708,0,NA,3.5,NA,"No",100,0,0,"No",NA,0,0,NA,1,1.5,2,NA,NA,"seedlings (DBH not provided); Dead branch off main stem; Bark is a little black walnutty."
"WCP","Forest Preserve District of DuPage County","",48,"SH",NA,NA,"","N",41.892153,-88.227315,0,NA,13,5.08,"No",100,1,0,"No","None present",NA,35,NA,2,2,3,NA,NA,"not seedling (DBH provided); half of trunk is wounded - looks like deer rub though -- south side callousing over possible cankers on the branch."
"WCP","Forest Preserve District of DuPage County","",49,"SH",NA,NA,"","N",41.892512,-88.226802,0,NA,5,0.635,"No",100,0,0,"Yes","Yes",50,60,NA,1,1,1,NA,NA,"not seedlings (DBH provided); deer browse evident;"
"WCP","Forest Preserve District of DuPage County","",50,"SH",NA,NA,"","Y",41.89247,-88.226697,0,NA,2.5,NA,"No",60,1,0,"Yes","No",40,0,NA,1,1,1,NA,NA,"seedlings (DBH not provided); multitrunk, 1 leader which has died back"
"WCP","Forest Preserve District of DuPage County","",51,"SH",NA,NA,"","N",41.892545,-88.226612,0,NA,5.5,0.8466666667,"No",100,NA,0,"Yes","No",25,0,NA,1,1,1,NA,NA,"not seedling (DBH provided); another stem of equal size is coming up immediately next to the stem, looks like it had been cankered and is dead now; was NS10"
"WCP","Forest Preserve District of DuPage County","",52,"SH",NA,NA,"","Y",41.8926,-88.226537,0,NA,3.5,NA,"No",NA,NA,0,"Yes","No",0,0,NA,1,2,2,NA,NA,"seedling (DBH not provided); some cankers in upper branches sickly upper leaves and terminal bud."
"WCP","Forest Preserve District of DuPage County","",53,"SH",NA,NA,"","Y",41.8921476,-88.2255062,0,NA,1.25,NA,NA,100,1,0,"No","None present",0,NA,NA,1,NA,1,NA,NA,"seedling (written explicitly, DBH not provided); caged already; too small to tell bud scar shape; 1 dead, deer browse epicormic on base; iPhone to get us GPS; was NS1"
"WCP","Forest Preserve District of DuPage County","10-11-2024",54,"SH",7096,7109,"SeansPhone","Y",NA,NA,NA,NA,2.5,NA,NA,100,NA,NA,"Yes",NA,5,NA,NA,1,NA,NA,NA,NA,"seedling (DBH not provided); caged already; too small to tell shape of bud scar or lenticels; did not get GPS; was next to black walnut (cut it?) two trunks equal height several old trunks cut at base; was NS6"
"WCP","Forest Preserve District of DuPage County","10-11-2024",55,"SH",7110,7116,"SeansPhone","Y",41.8921359,-88.2259752,NA,NA,1,NA,NA,NA,0,0,"No","None present",0,NA,NA,1,NA,NA,NA,NA,"seedling (DBH not provided); iPhone to get GPS; first year? very skinny and one last leaf"
"WCP","Forest Preserve District of DuPage County","10-11-2024",56,"SH",7117,7128,"SeansPhone","Y",NA,NA,NA,NA,1.5,NA,NA,100,0,NA,"Yes",NA,40,NA,NA,NA,NA,1,NA,NA,"seedling (DBH not provided); did not write GPS-- need GPS. Zero epicormics at base but 3 stems cut or died back. hard to tell hybrid characteristics with terminal bud."
"WCP","Forest Preserve District of DuPage County","10-11-2024",57,"SH",7129,7140,"SeansPhone","Y",41.892218,-88.2261348,NA,NA,2,NA,NA,NA,0,0,NA,NA,0,NA,NA,1,1,1,NA,NA,"seedling (DBH not provided); caged already; iPhone to get GPS; 1 stem clipped near base- deer browse? Was NS4"
"WCP","Forest Preserve District of DuPage County","10-11-2024",58,"SH",7141,7149,"SeansPhone","Y",41.8922295,-88.2262099,NA,NA,1,NA,"No",100,0,0,"Yes",NA,20,NA,NA,NA,NA,NA,NA,NA,"seedling (DBH not provided); very skinny; hard to tell hybrid/true characteristics because tree was too small; year one seedling, no base; iPhone to get GPS"
"WCP","Forest Preserve District of DuPage County","10-11-2024",59,"SH",7150,7160,"SeansPhone","Y",41.8922235,-88.2264131,NA,NA,1.5,NA,NA,NA,1,NA,"Yes",NA,40,NA,NA,1,NA,1,NA,NA,"seedling (DBH not provided); caged already; too small to tell shape of bud scar; GPS from iPhone; resprout from base-clipped or mowed; was NS7"
"WCP","Forest Preserve District of DuPage County","10-11-2024",60,"SH",7161,7174,"SeansPhone","N",41.8921871,-88.2265304,NA,NA,5,0.762,NA,NA,1,NA,"Yes",NA,10,NA,NA,1,1.5,1.5,NA,NA,"not seedling (DBH provided):main growth was a sprount off dead stump. iPhone used for GPS; 2 living, 1 dead stump sprouts; sampled tallest; was NS8."
"WCP","Forest Preserve District of DuPage County","10-11-2024",61,"SH",7175,7191,"SeansPhone","N",41.89254,-88.2263628,NA,NA,6.25,1.27,"No",100,4,NA,"Yes","Yes",20,NA,NA,1,1,1,NA,NA,"not seedling (DBH provided); iPhone used to get GPS; two trunks close (2 inches) & 2 dead trunks; unknown NS (""NS??"")"
"WCP","Forest Preserve District of DuPage County","10-11-2024",62,"SH",7192,7205,"SeansPhone","N",NA,NA,NA,NA,7,2.54,"Yes",NA,NA,NA,"No","None present",0,NA,NA,1,1,1,NA,NA,"not seedling (DBH provided); more in area - search more; right east of SH61; single trunk; unknown NS (""NS??"")"
"WCP","Forest Preserve District of DuPage County","10-14-2024",63,"SH",7248,7271,"SeansPhone","N",41.8925407,-88.2285434,20,"N",14,5.08,"No",100,0,0,"Yes","Yes",60,70,"3",1,1,1,NA,NA,"not seedling (DBH provided); looks like ComEd cut a year or two ago; iPhone used for GPS; underlined no apparent crown dieback, but selected the Purdue severity of infection #3 based on the canker description."
"WCP","Forest Preserve District of DuPage County","10-14-2024",64,"SH",7272,7295,"SeansPhone","N",41.8925769,-88.2294986,0,NA,10,5.08,"No",NA,5,NA,"Yes","Yes",25,10,"2",1,1,1,NA,NA,"not seedling (DBH provided); 3 significant trunks, 2 totally cut 1 left, plus 2 epicormics cut; also old cut low to the joint; was 10ft but more was cut by ComEd; Hard to say percent live canopy."
"WCP","Forest Preserve District of DuPage County","10-14-2024",65,"SH",7296,7314,"SeansPhone","N",41.8925594,-88.2295147,NA,NA,2.5,5.08,"No",NA,0,0,"Yes","Yes",30,0,NA,2,1.5,1.5,NA,NA,"not seedling (DBH provided); individual cut @ breast height one branch left; the hybrid characteristics for bud scar and lenticels varied by branch; Purdue severity of infection & canker areas was unclear due to cut; this individual is west of SH64."
"WCP","Forest Preserve District of DuPage County","10-14-2024",66,"SH",7315,7331,"SeansPhone","N",41.8923103,-88.2276707,5,"W",6,1.27,"No",NA,0,0,"Yes",NA,20,0,"1.5",2,1,1,NA,NA,"not seedling (DBH provided); unclear if callousing or not; GPS from iPhone;"
